COUNT( DISTINCT TripID),StartLatitude,StartLongitude
2,54.31,10.13
1,54.33,10.16
1,54.33,10.17
2,54.36,10.05
1,54.36,10.12
22,54.36,10.13
487,54.36,10.14
1,54.36,10.15
3,54.36,10.18
1,54.37,10.17
1,54.49,10.34
1,54.51,10.39
3,54.54,10.29
