TripID,ID,WeekdayInt,WeekOfYearInt,HourInt,TripDurationInMinutes,RemainingTravelTimeInMinute,shiptype,Length,Breadth,Draught,Latitude,Longitude,SOG,COG,TH
424725,266030563,4,24,22,2307,1994,70,88,12,4.3,54.52,11.36,9.3,114,113
424725,266032467,4,24,22,2307,2009,70,88,12,4.3,54.54,11.29,9.4,112.6,110
424725,265599356,4,24,18,2307,2253,70,88,12,4.3,54.46,10.26,9,37.6,35
424725,265603214,4,24,18,2307,2259,70,88,12,4.3,54.45,10.25,9,39.3,37
424725,266038992,4,24,22,2307,2003,70,88,12,4.3,54.53,11.32,9.3,112,111
424725,266039056,4,24,21,2307,2048,70,88,12,4.3,54.57,11.13,9.4,83.2,77
424725,265604345,4,24,17,2307,2294,70,88,12,4.3,54.37,10.18,8.8,34.4,32
424725,265606096,4,24,18,2307,2251,70,88,12,4.3,54.46,10.27,9.1,38.1,35
424725,266046229,4,24,22,2307,1985,70,88,12,4.3,54.51,11.39,9.3,118.6,114
424725,265613072,4,24,18,2307,2251,70,88,12,4.3,54.46,10.27,9.1,37.5,35
424725,266047727,4,24,21,2307,2040,70,88,12,4.3,54.57,11.16,9.8,119.1,114
424725,265620002,4,24,18,2307,2249,70,88,12,4.3,54.46,10.27,9.1,39.4,37
424725,265620913,4,24,18,2307,2239,70,88,12,4.3,54.48,10.3,9.3,54.4,54
424725,265627710,4,24,18,2307,2238,70,88,12,4.3,54.48,10.31,9.3,54.2,53
424725,265629613,4,24,18,2307,2256,70,88,12,4.3,54.45,10.25,9,38.1,35
424725,265634553,4,24,18,2307,2248,70,88,12,4.3,54.47,10.28,9.1,39.9,37
424725,265635735,4,24,17,2307,2287,70,88,12,4.3,54.38,10.2,8.6,27.8,20
424725,266064189,4,24,22,2307,1982,70,88,12,4.3,54.51,11.4,9.4,117.7,113
424725,265636402,4,24,18,2307,2245,70,88,12,4.3,54.47,10.28,9.1,42.1,40
424725,265641777,4,24,18,2307,2247,70,88,12,4.3,54.47,10.28,9.1,38.8,37
424725,265642202,4,24,18,2307,2236,70,88,12,4.3,54.49,10.32,9.3,60.3,64
424725,265644615,4,24,18,2307,2261,70,88,12,4.3,54.44,10.24,8.9,30.6,29
424725,265646209,4,24,18,2307,2269,70,88,12,4.3,54.42,10.22,8.9,30.9,28
424725,266075401,4,24,22,2307,1980,70,88,12,4.3,54.5,11.41,9.4,117.7,114
424725,266075769,4,24,23,2307,1960,70,88,12,4.3,54.48,11.49,9.3,117.5,114
424725,266076160,4,24,23,2307,1977,70,88,12,4.3,54.5,11.42,9.4,117.6,114
424725,265647668,4,24,18,2307,2256,70,88,12,4.3,54.45,10.25,9,37.4,35
424725,266080990,4,24,21,2307,2038,70,88,12,4.3,54.57,11.17,9.9,117.6,113
424725,266081022,4,24,23,2307,1968,70,88,12,4.3,54.49,11.46,9.4,117.3,114
424725,265648441,4,24,18,2307,2235,70,88,12,4.3,54.49,10.32,9.3,66.2,68
424725,265654978,4,24,18,2307,2231,70,88,12,4.3,54.49,10.34,9.4,63,66
424725,265656976,4,24,18,2307,2244,70,88,12,4.3,54.48,10.29,9.1,42.6,41
424725,265657271,4,24,18,2307,2234,70,88,12,4.3,54.49,10.32,9.4,65.5,66
424725,265658221,4,24,18,2307,2268,70,88,12,4.3,54.43,10.22,8.8,30.1,28
424725,265658786,4,24,18,2307,2260,70,88,12,4.3,54.44,10.24,9,33.3,32
