
@relation 'AIS'
@attribute AgentLatitude numeric
@attribute AgentRemainingTravelTimeInMinutes numeric
@attribute AgentSOG numeric
@attribute AgentCOG numeric
@attribute Latitude numeric
@attribute Longitude numeric
@attribute WeekdayInt numeric
@attribute WeekOfYearInt numeric
@attribute HourInt numeric
@attribute Length numeric
@attribute Breadth numeric
@attribute Draught numeric
@attribute SOG numeric
@attribute COG numeric
@attribute TripID numeric
@attribute time date 'yyyy-MM-dd HH:mm'
@attribute RemainingTravelTimeInMinutes2 numeric

@data
54.43,756,0.4,246.1,54.71,15.84,3,37,23,151,24,7.6,11,83.1,1992358,'2016-09-15 23:44:00',756
54.43,396,0.4,246.1,54.93,17.75,4,37,5,151,24,7.6,11.1,76.5,1992358,'2016-09-16 05:44:00',396
54.43,391,0.4,246.1,54.93,17.77,4,37,5,151,24,7.6,11,80.9,1992358,'2016-09-16 05:49:00',391
54.61,279,10.7,81.2,54.75,13.2,3,37,15,151,24,7.6,11,92.1,1992358,'2016-09-15 15:06:00',1274
54.47,29,9.4,22.1,54.41,12.17,3,37,10,151,24,7.6,9.5,64.3,1992358,'2016-09-15 10:43:00',1537
54.43,399,0.4,246.1,54.92,17.73,4,37,5,151,24,7.6,11.1,76.9,1992358,'2016-09-16 05:41:00',399
54.43,752,0.4,246.1,54.72,15.86,3,37,23,151,24,7.6,11,82.9,1992358,'2016-09-15 23:48:00',752
54.47,28,9.4,22.1,54.41,12.17,3,37,10,151,24,7.6,9.5,62.7,1992358,'2016-09-15 10:44:00',1536
54.61,287,10.7,81.2,54.75,13.16,3,37,14,151,24,7.6,11.1,91.7,1992358,'2016-09-15 14:58:00',1282
54.43,399,0.4,246.1,54.92,17.73,4,37,5,151,24,7.6,11.1,76.4,1992358,'2016-09-16 05:41:00',399
54.61,63,10.7,81.2,54.61,14.29,3,37,18,151,24,7.6,10.3,107.2,1992358,'2016-09-15 18:42:00',1058
54.43,751,0.4,246.1,54.72,15.86,3,37,23,151,24,7.6,11,82.9,1992358,'2016-09-15 23:49:00',751
54.61,62,10.7,81.2,54.61,14.29,3,37,18,151,24,7.6,10.4,107.2,1992358,'2016-09-15 18:43:00',1057
54.43,379,0.4,246.1,54.93,17.83,4,37,6,151,24,7.6,11,81.2,1992358,'2016-09-16 06:01:00',379
54.61,286,10.7,81.2,54.75,13.16,3,37,14,151,24,7.6,11,91.5,1992358,'2016-09-15 14:59:00',1281
54.47,27,9.4,22.1,54.41,12.17,3,37,10,151,24,7.6,9.6,62.8,1992358,'2016-09-15 10:45:00',1535
54.47,10,9.4,22.1,54.44,12.23,3,37,11,151,24,7.6,9.5,41.9,1992358,'2016-09-15 11:02:00',1518
54.61,275,10.7,81.2,54.75,13.22,3,37,15,151,24,7.6,11,92.2,1992358,'2016-09-15 15:10:00',1270
54.43,750,0.4,246.1,54.72,15.87,3,37,23,151,24,7.6,11,82.6,1992358,'2016-09-15 23:50:00',750
54.43,398,0.4,246.1,54.92,17.74,4,37,5,151,24,7.6,11.1,76.2,1992358,'2016-09-16 05:42:00',398
54.47,26,9.4,22.1,54.42,12.18,3,37,10,151,24,7.6,9.6,62.4,1992358,'2016-09-15 10:46:00',1534
54.43,397,0.4,246.1,54.92,17.74,4,37,5,151,24,7.6,11.1,76.4,1992358,'2016-09-16 05:43:00',397
54.61,285,10.7,81.2,54.75,13.17,3,37,15,151,24,7.6,11,91.3,1992358,'2016-09-15 15:00:00',1280
54.43,749,0.4,246.1,54.72,15.88,3,37,23,151,24,7.6,11,82.4,1992358,'2016-09-15 23:51:00',749
54.47,25,9.4,22.1,54.42,12.18,3,37,10,151,24,7.6,9.6,62.2,1992358,'2016-09-15 10:47:00',1533
54.61,284,10.7,81.2,54.75,13.17,3,37,15,151,24,7.6,11,91.7,1992358,'2016-09-15 15:01:00',1279
54.61,61,10.7,81.2,54.61,14.3,3,37,18,151,24,7.6,10.3,107,1992358,'2016-09-15 18:44:00',1056
54.47,24,9.4,22.1,54.42,12.19,3,37,10,151,24,7.6,9.6,62.6,1992358,'2016-09-15 10:48:00',1532
54.43,723,0.4,246.1,54.73,16.01,4,37,0,151,24,7.6,11.3,81.3,1992358,'2016-09-16 00:17:00',723
54.43,748,0.4,246.1,54.72,15.88,3,37,23,151,24,7.6,11,82.6,1992358,'2016-09-15 23:52:00',748
54.61,60,10.7,81.2,54.61,14.3,3,37,18,151,24,7.6,10.3,107.1,1992358,'2016-09-15 18:45:00',1055
54.43,747,0.4,246.1,54.72,15.89,3,37,23,151,24,7.6,11,83,1992358,'2016-09-15 23:53:00',747
54.43,395,0.4,246.1,54.93,17.75,4,37,5,151,24,7.6,10.9,81.2,1992358,'2016-09-16 05:45:00',395
54.47,23,9.4,22.1,54.42,12.19,3,37,10,151,24,7.6,9.6,62.4,1992358,'2016-09-15 10:49:00',1531
54.61,283,10.7,81.2,54.75,13.18,3,37,15,151,24,7.6,11,91.8,1992358,'2016-09-15 15:02:00',1278
54.43,746,0.4,246.1,54.72,15.89,3,37,23,151,24,7.6,11,82.9,1992358,'2016-09-15 23:54:00',746
54.43,394,0.4,246.1,54.93,17.76,4,37,5,151,24,7.6,11,80.8,1992358,'2016-09-16 05:46:00',394
54.61,59,10.7,81.2,54.61,14.31,3,37,18,151,24,7.6,10.3,107.1,1992358,'2016-09-15 18:46:00',1054
54.47,22,9.4,22.1,54.42,12.19,3,37,10,151,24,7.6,9.6,63.8,1992358,'2016-09-15 10:50:00',1530
54.61,282,10.7,81.2,54.75,13.19,3,37,15,151,24,7.6,11,91.5,1992358,'2016-09-15 15:03:00',1277
54.61,58,10.7,81.2,54.61,14.31,3,37,18,151,24,7.6,10.3,107.1,1992358,'2016-09-15 18:47:00',1053
54.43,393,0.4,246.1,54.93,17.76,4,37,5,151,24,7.6,11,81.1,1992358,'2016-09-16 05:47:00',393
54.43,745,0.4,246.1,54.72,15.9,3,37,23,151,24,7.6,11,82.7,1992358,'2016-09-15 23:55:00',745
54.43,392,0.4,246.1,54.93,17.77,4,37,5,151,24,7.6,11,80.6,1992358,'2016-09-16 05:48:00',392
54.47,20,9.4,22.1,54.42,12.2,3,37,10,151,24,7.6,9.2,40.5,1992358,'2016-09-15 10:52:00',1528
54.47,19,9.4,22.1,54.43,12.2,3,37,10,151,24,7.6,9.3,40.8,1992358,'2016-09-15 10:53:00',1527
54.61,57,10.7,81.2,54.61,14.32,3,37,18,151,24,7.6,10.3,107.5,1992358,'2016-09-15 18:48:00',1052
54.43,710,0.4,246.1,54.73,16.08,4,37,0,151,24,7.6,11.5,79.9,1992358,'2016-09-16 00:30:00',710
54.43,709,0.4,246.1,54.74,16.09,4,37,0,151,24,7.6,11.5,79.9,1992358,'2016-09-16 00:31:00',709
54.43,744,0.4,246.1,54.72,15.9,3,37,23,151,24,7.6,11,82.5,1992358,'2016-09-15 23:56:00',744
54.61,281,10.7,81.2,54.75,13.19,3,37,15,151,24,7.6,11,91.4,1992358,'2016-09-15 15:04:00',1276
54.43,743,0.4,246.1,54.72,15.91,3,37,23,151,24,7.6,11,82.5,1992358,'2016-09-15 23:57:00',743
54.61,55,10.7,81.2,54.61,14.32,3,37,18,151,24,7.6,10.3,107.6,1992358,'2016-09-15 18:50:00',1050
54.47,18,9.4,22.1,54.43,12.21,3,37,10,151,24,7.6,9.3,40.5,1992358,'2016-09-15 10:54:00',1526
54.43,700,0.4,246.1,54.74,16.14,4,37,0,151,24,7.6,11.5,78.7,1992358,'2016-09-16 00:40:00',700
54.43,343,0.4,246.1,54.95,18.02,4,37,6,151,24,7.6,10.5,82.7,1992358,'2016-09-16 06:37:00',343
54.61,280,10.7,81.2,54.75,13.2,3,37,15,151,24,7.6,11,91.7,1992358,'2016-09-15 15:05:00',1275
54.43,742,0.4,246.1,54.72,15.91,3,37,23,151,24,7.6,11,82.7,1992358,'2016-09-15 23:58:00',742
54.43,390,0.4,246.1,54.93,17.78,4,37,5,151,24,7.6,11,81,1992358,'2016-09-16 05:50:00',390
54.43,388,0.4,246.1,54.93,17.78,4,37,5,151,24,7.6,11.1,80.8,1992358,'2016-09-16 05:52:00',388
54.47,17,9.4,22.1,54.43,12.21,3,37,10,151,24,7.6,9.4,40,1992358,'2016-09-15 10:55:00',1525
54.43,741,0.4,246.1,54.72,15.92,3,37,23,151,24,7.6,11.1,83,1992358,'2016-09-15 23:59:00',741
54.61,244,10.7,81.2,54.74,13.38,3,37,15,151,24,7.6,11,93,1992358,'2016-09-15 15:41:00',1239
54.47,16,9.4,22.1,54.43,12.21,3,37,10,151,24,7.6,9.4,40,1992358,'2016-09-15 10:56:00',1524
54.61,54,10.7,81.2,54.61,14.33,3,37,18,151,24,7.6,10.3,107.5,1992358,'2016-09-15 18:51:00',1049
54.43,740,0.4,246.1,54.72,15.92,4,37,0,151,24,7.6,11.1,83.1,1992358,'2016-09-16 00:00:00',740
54.47,15,9.4,22.1,54.43,12.21,3,37,10,151,24,7.6,9.4,39.6,1992358,'2016-09-15 10:57:00',1523
54.43,388,0.4,246.1,54.93,17.79,4,37,5,151,24,7.6,11,80.5,1992358,'2016-09-16 05:52:00',388
